,PLAYER,AFFILIATION,OVERALL PICK,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD,ROOKIE
0,Kwame Brown,Glynn Academy,1,WAS,57,14.3,4.5,1.6,4.3,38.7,0.0,0.0,0.0,1.2,1.7,70.7,1.1,2.4,3.5,0.8,0.8,0.3,0.5,1.8,2.11,132.0,Center,0,1,0,0,0
1,Pau Gasol,FC Barcelona Basquet (Spain),3,MEM,82,36.6,17.6,6.7,13.0,51.8,0.0,0.1,20.0,4.1,5.8,70.9,2.9,6.0,8.9,2.7,2.7,0.5,2.1,2.4,2.13,113.0,Center-Forward,1,1,1,0,0
2,Jason Richardson,Michigan State,5,GSW,80,32.8,14.4,5.8,13.6,42.6,1.0,3.1,33.3,1.8,2.6,67.1,1.6,2.7,4.3,3.0,2.0,1.3,0.4,2.4,1.98,102.0,Guard,0,0,0,1,0
3,Shane Battier,Duke,6,MEM,78,39.7,14.4,5.3,12.3,42.9,1.3,3.5,37.3,2.5,3.6,70.0,2.3,3.1,5.4,2.8,2.0,1.6,1.0,2.8,2.03,100.0,Forward,0,0,1,0,0
4,DeSagana Diop,Oak Hill Academy,8,CLE,18,6.1,1.4,0.7,1.6,41.4,0.0,0.0,0.0,0.1,0.3,20.0,0.3,0.7,0.9,0.3,0.7,0.1,0.6,1.1,2.13,127.0,Center,0,1,0,0,0
5,Rodney White,North Carolina-Charlotte,9,DET,16,8.0,3.5,1.3,3.8,35.0,0.1,0.6,22.2,0.8,0.9,85.7,0.1,1.0,1.1,0.8,0.9,0.6,0.1,0.4,2.06,104.0,Forward,0,0,1,0,0
6,Vladimir Radmanovic,KK FMP (Serbia),12,SEA,61,20.2,6.7,2.4,5.8,41.2,1.1,2.6,42.0,0.8,1.2,68.1,0.7,3.0,3.8,1.3,1.2,0.9,0.4,2.0,2.08,107.0,Forward,0,0,1,0,0
7,Richard Jefferson,Arizona,13,NJN,79,24.3,9.4,3.4,7.5,45.7,0.2,0.7,23.2,2.4,3.4,71.3,1.1,2.6,3.7,1.8,1.4,0.8,0.6,2.7,2.01,106.0,Forward,0,0,1,0,0
8,Steven Hunter,DePaul,15,ORL,53,9.7,3.6,1.3,2.8,45.6,0.0,0.0,0.0,1.0,1.8,58.5,0.8,1.1,1.8,0.1,0.3,0.1,0.8,1.5,2.13,109.0,Center,0,1,0,0,0
9,Kirk Haston,Indiana,16,CHH,15,5.2,1.7,0.7,2.6,28.2,0.0,0.2,0.0,0.3,0.5,50.0,0.3,1.0,1.3,0.3,0.2,0.0,0.1,0.6,2.06,110.0,Forward,0,0,1,0,0
10,Michael Bradley,Villanova,17,TOR,26,4.5,1.2,0.5,1.0,52.0,0.0,0.1,0.0,0.2,0.3,50.0,0.3,0.7,0.9,0.1,0.2,0.0,0.2,0.4,2.08,111.0,Forward,0,0,1,0,0
11,Jason Collins,Stanford,18,NJN,77,18.2,4.5,1.5,3.6,42.1,0.0,0.0,50.0,1.5,2.1,70.1,1.7,2.2,3.9,1.1,0.9,0.4,0.6,2.2,2.13,116.0,Center,0,1,0,0,0
12,Zach Randolph,Michigan State,19,POR,41,5.8,2.8,1.2,2.6,44.9,0.0,0.0,0.0,0.4,0.7,66.7,0.7,0.9,1.7,0.3,0.4,0.2,0.1,0.7,2.06,113.0,Forward,0,0,1,0,0
13,Brendan Haywood,North Carolina,20,WAS,62,20.4,5.1,1.8,3.6,49.3,0.0,0.0,0.0,1.6,2.6,60.6,2.3,2.9,5.2,0.5,0.8,0.3,1.5,2.5,2.13,119.0,Center,0,1,0,0,0
14,Joseph Forte,North Carolina,21,BOS,8,4.8,0.8,0.1,1.5,8.3,0.0,0.4,0.0,0.5,0.5,100.0,0.1,0.6,0.8,0.8,0.4,0.3,0.0,0.1,1.93,88.0,Guard,0,0,0,1,0
