,Unnamed: 0,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY,CENTER,FORWARD,GUARD
388,388,Kyrylo Fesenko,Cherkaski Mavpy (Ukraine),38,2007-08,UTA,9,7.8,1.6,0.7,1.8,37.5,0.0,0.0,0.0,0.2,0.4,50.0,1.6,1.2,2.8,0.2,0.9,0.0,0.3,2.1,5.3,0.0,0.0,-0.1,2.16,127.0,Center,0,1,0,0
390,390,Sun Sun,Beijing Olympians (China),40,2008-09,LAL,10,2.8,0.6,0.3,1.1,27.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,0.1,1.0,1.2,0.0,0.0,-4.8,2.06,93.0,Guard,0,0,0,1
391,391,Chris Richard,Florida,41,2007-08,MIN,52,10.7,1.9,0.8,1.7,47.1,0.0,0.0,0.0,0.3,0.5,59.3,1.0,1.6,2.6,0.3,0.5,0.2,0.2,1.6,6.3,0.0,0.0,-0.5,2.06,116.0,Forward,0,0,1,0
392,392,Derrick Byars,Vanderbilt,42,2011-12,SAS,2,18.4,5.0,1.5,5.5,27.3,0.0,3.0,0.0,2.0,2.0,100.0,3.0,2.5,5.5,0.5,0.0,1.0,0.0,1.0,15.4,0.0,0.0,-4.0,2.01,100.0,Guard-Forward,0,0,1,1
396,396,Stephane Lasme,Massachusetts,46,2007-08,GSW,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,98.0,Forward,0,0,1,0
398,398,Marc Gasol,CB Sant Josep (Spain),48,2008-09,MEM,82,30.7,11.9,4.3,8.1,53.0,0.0,0.0,0.0,3.4,4.6,73.3,2.5,4.9,7.4,1.7,2.0,0.8,1.1,3.2,27.0,17.0,0.0,-4.1,2.11,116.0,Center,0,1,0,0
399,399,Aaron Gray,Pittsburgh,49,2007-08,CHI,61,10.0,4.3,1.7,3.3,50.5,0.0,0.0,0.0,0.9,1.6,56.6,1.1,1.6,2.8,0.7,0.9,0.3,0.3,1.9,9.5,2.0,0.0,-0.3,2.13,122.0,Center,0,1,0,0
402,402,Taurean Green,Florida,52,2007-08,POR,8,5.5,2.1,0.5,2.0,25.0,0.1,1.0,12.5,1.0,1.0,100.0,0.0,0.5,0.5,1.0,0.9,0.1,0.0,0.4,3.7,0.0,0.0,-0.1,1.83,80.0,Guard,0,0,0,1
406,406,Ramon Sessions,Nevada-Reno,56,2007-08,MIL,17,26.4,8.1,3.0,6.9,43.6,0.2,0.4,42.9,1.9,2.4,78.0,0.5,2.9,3.4,7.5,2.1,1.0,0.2,1.5,24.8,3.0,0.0,-2.6,1.91,86.0,Guard,0,0,0,1
409,409,DJ Strawberry,Maryland,59,2007-08,PHX,33,8.2,2.2,0.9,2.8,31.5,0.2,0.8,24.0,0.3,0.6,47.4,0.3,0.6,0.8,0.9,0.3,0.4,0.2,1.1,5.9,0.0,0.0,-1.2,1.96,91.0,Guard,0,0,0,1
