,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
89,Damian Jones,Vanderbilt,30,2016-17,GSW,10,8.5,1.9,0.8,1.6,50.0,0.0,0.0,0.0,0.3,1.0,30.0,0.9,1.4,2.3,0.0,0.6,0.1,0.4,1.5,5.6,0,0,-2.8,2.11,111,Center,0
90,Deyonta Davis,Michigan State,31,2016-17,MEM,36,6.6,1.6,0.7,1.3,51.1,0.0,0.0,0.0,0.3,0.5,55.6,0.6,1.1,1.7,0.1,0.2,0.1,0.5,1.1,5.1,0,0,-1.2,2.11,108,NaN,0
91,Ivica Zubac,KK Mega Vizura,32,2016-17,LAL,38,16.0,7.5,3.3,6.3,52.9,0.0,0.1,0.0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,16.6,4,0,-3.5,2.13,109,Center,0
92,Cheick Diallo,Kansas,33,2016-17,NOP,17,11.7,5.1,2.1,4.5,47.4,0.0,0.0,0.0,0.9,1.2,71.4,1.4,2.9,4.3,0.2,0.4,0.2,0.4,1.0,12.2,3,0,-3.1,2.03,99,NaN,0
93,Tyler Ulis,Kentucky,34,2016-17,PHX,61,18.4,7.3,3.0,7.2,42.1,0.3,1.3,26.6,0.9,1.2,77.5,0.3,1.2,1.6,3.7,1.3,0.8,0.1,1.2,16.0,6,0,-2.3,1.78,73,NaN,0
94,Rade Zagorac,KK Mega Vizura,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
95,Malcolm Brogdon,Virginia,36,2016-17,MIL,75,26.4,10.2,3.9,8.5,45.7,1.0,2.6,40.4,1.5,1.7,86.5,0.6,2.2,2.8,4.2,1.5,1.1,0.2,1.9,22.3,2,1,1.2,1.96,104,Guard,0
96,Chinanu Onuaku,Louisville,37,2016-17,HOU,5,10.3,2.8,1.0,1.4,71.4,0.0,0.0,0.0,0.8,0.8,100,0.4,1.6,2.0,0.6,0.8,0.6,0.2,1.2,7.7,0,0,-9.0,2.08,111,Center,0
97,Patrick McCaw,Nevada-Las Vegas,38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
98,David Michineau,Elan Chalon (France),39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
99,Diamond Stone,Maryland,40,2016-17,LAC,7,3.5,1.4,0.4,1.9,23.1,0.0,0.0,0.0,0.6,0.6,100,0.1,0.7,0.9,0.0,0.3,0.0,0.1,0.7,2.6,0,0,-3.9,2.11,116,Center,0
100,Stephen Zimmerman,Nevada-Las Vegas,41,2016-17,ORL,19,5.7,1.2,0.5,1.6,32.3,0.0,0.0,0.0,0.2,0.3,60.0,0.6,1.3,1.8,0.2,0.2,0.1,0.3,0.9,4.7,0,0,-2.1,2.13,109,Center,0
101,Isaiah Whitehead,Seton Hall,42,2016-17,BKN,73,22.5,7.4,2.8,7.0,40.2,0.6,2.0,29.5,1.2,1.5,80.5,0.4,2.1,2.5,2.6,1.9,0.6,0.5,2.4,15.7,1,0,-1.6,1.93,97,Guard,0
102,Zhou Qi,Xinjiang Guanghui,43,2017-18,HOU,18,6.9,1.2,0.3,1.8,18.8,0.1,1.1,10.5,0.4,0.7,66.7,0.3,0.9,1.2,0.1,0.6,0.1,0.8,0.8,5.0,0,0,-3.7,2.16,95,NaN,0
103,Isaia Cordinier,Denain ASC Voltaire,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
104,Demetrius Jackson,Notre Dame,45,2016-17,BOS,5,3.4,2.0,0.6,0.8,75.0,0.2,0.2,100,0.6,1.2,50.0,0.4,0.4,0.8,0.6,0.0,0.0,0.0,0.0,3.9,0,0,0.2,1.85,91,NaN,0
105,AJ Hammons,Purdue,46,2016-17,DAL,22,7.4,2.2,0.8,1.9,40.5,0.2,0.5,50.0,0.4,0.9,45.0,0.4,1.3,1.6,0.2,0.5,0.0,0.6,1.0,5.9,0,0,-0.2,2.13,118,Center,0
106,Jake Layman,Maryland,47,2016-17,POR,35,7.1,2.2,0.7,2.5,29.2,0.4,1.5,25.5,0.4,0.5,76.5,0.2,0.5,0.7,0.3,0.3,0.3,0.1,0.6,4.2,0,0,0.0,2.03,95,Forward,0
107,Paul Zipser,FC Bayern Muenchen,48,2016-17,CHI,44,19.2,5.5,2.0,5.0,39.8,0.8,2.3,33.3,0.7,0.9,77.5,0.3,2.5,2.8,0.8,0.9,0.3,0.4,1.8,11.3,0,0,0.3,2.03,103,Forward,0
108,Michael Gbinije,Syracuse,49,2016-17,DET,9,3.5,0.4,0.1,1.1,10.0,0.0,0.4,0.0,0.2,0.2,100,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,1.2,0,0,-0.3,2.01,91,Guard-Forward,0
109,Georges Niang,Iowa State,50,2016-17,IND,23,4.0,0.9,0.4,1.6,25.0,0.0,0.5,8.3,0.1,0.1,100,0.1,0.7,0.7,0.2,0.2,0.1,0.0,0.3,2.3,0,0,0.1,2.01,104,Forward,0
110,Ben Bentil,Providence,51,2016-17,DAL,3,3.3,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.0,0.0,0.3,0.5,0,0,-4.0,2.06,107,NaN,0
111,Joel Bolomboy,Weber State,52,2016-17,UTA,12,4.4,1.8,0.8,1.3,56.3,0.1,0.3,25.0,0.3,0.5,50.0,0.3,1.1,1.4,0.2,0.2,0.1,0.2,0.1,4.4,0,0,1.0,2.06,107,NaN,0
