,PLAYER,AFFILIATION,OVERALL PICK,YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,HEIGHT,WEIGHT,POSITION,ROTY
331,Vernon Carey Jr.,Duke,32,2020-21,CHA,19,6.0,2.4,0.9,1.9,50.0,0.1,0.4,14.3,0.5,0.6,81.8,0.3,1.1,1.4,0.1,0.3,0.1,0.3,0.7,5.0,0,0,-0.6,2.06,122,Forward-Center,0
332,Daniel Oturu,Minnesota,33,2020-21,LAC,30,5.4,1.8,0.7,1.7,42.3,0.0,0.2,20.0,0.3,0.4,75.0,0.7,0.9,1.6,0.3,0.3,0.1,0.2,0.8,5.0,1,0,0.3,2.03,109,NaN,0
333,Theo Maledon,ASVEL Basket (France),34,2020-21,OKC,65,27.3,10.1,3.5,9.4,36.8,1.6,4.8,33.5,1.6,2.1,74.8,0.4,2.9,3.2,3.5,2.2,0.9,0.2,1.9,20.2,1,0,-9.6,1.93,79,Guard,0
334,Xavier Tillman Sr.,Michigan State,35,2020-21,MEM,59,18.4,6.6,2.8,5.1,55.9,0.4,1.1,33.8,0.6,0.9,64.2,1.3,3.1,4.3,1.3,0.8,0.7,0.6,2.0,16.9,2,0,0.6,2.03,111,Forward,0
335,Tyler Bey,Colorado,36,2020-21,DAL,18,3.9,1.0,0.4,1.2,31.8,0.1,0.2,25.0,0.2,0.3,60.0,0.4,0.6,1.1,0.2,0.2,0.0,0.1,0.3,2.5,0,0,-2.1,2.01,98,Forward,0
336,Vit Krejci,Basket Zaragoza 2002 (Spain),37,2021-22,OKC,30,23.0,6.2,2.3,5.6,40.7,1.1,3.3,32.7,0.6,0.7,86.4,0.6,2.8,3.4,1.9,1.0,0.6,0.3,2.2,14.9,1,0,-6.0,2.03,88,Guard,0
337,Saben Lee,Vanderbilt,38,2020-21,DET,48,16.3,5.6,2.1,4.4,47.1,0.2,0.5,34.8,1.3,1.9,68.5,0.4,1.6,2.0,3.6,1.1,0.7,0.3,1.6,15.1,0,0,-1.9,1.88,83,Guard,0
338,Elijah Hughes,Syracuse,39,2020-21,UTA,18,3.5,1.7,0.6,1.7,33.3,0.4,1.3,34.8,0.2,0.2,75.0,0.1,0.4,0.5,0.3,0.3,0.1,0.1,0.1,2.8,0,0,-2.1,1.96,98,Guard,0
339,Robert Woodard II,Mississippi State,40,2020-21,SAC,13,3.5,1.5,0.6,1.5,40.0,0.1,0.5,16.7,0.2,0.6,37.5,0.3,0.9,1.2,0.2,0.1,0.0,0.2,0.3,3.9,0,0,0.8,1.98,107,Forward,0
340,Tre Jones,Duke,41,2020-21,SAS,37,7.3,2.5,1.0,2.1,47.4,0.1,0.1,60.0,0.5,0.5,89.5,0.2,0.4,0.6,1.1,0.4,0.2,0.0,0.4,5.1,0,0,-2.2,1.85,84,Guard,0
341,Nick Richards,Kentucky,42,2020-21,CHA,18,3.5,0.8,0.2,0.5,44.4,0.0,0.1,0.0,0.4,0.6,63.6,0.2,0.4,0.6,0.1,0.2,0.0,0.0,0.4,1.6,0,0,-0.7,2.13,111,Center,0
342,Jahmi'us Ramsey,Texas Tech,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
343,Marko Simonovic,KK Mega Leks (Serbia),44,2021-22,CHI,9,3.9,1.9,0.4,1.7,26.7,0.1,0.6,20.0,0.9,1.2,72.7,0.6,0.6,1.1,0.0,0.2,0.1,0.1,0.7,3.7,0,0,0.3,2.11,100,Center,0
344,Jordan Nwora,Louisville,45,2020-21,MIL,30,9.1,5.7,2.1,4.5,45.9,0.9,2.1,45.2,0.6,0.8,76.0,0.3,1.7,2.0,0.2,0.8,0.6,0.3,0.7,10.2,2,0,-0.1,2.03,102,Forward,0
345,CJ Elleby,Washington State,46,2020-21,POR,30,6.4,2.3,0.8,2.2,37.9,0.2,1.1,20.6,0.4,0.5,73.3,0.4,0.7,1.1,0.3,0.2,0.2,0.1,0.9,4.8,0,0,-0.5,1.98,91,Forward-Guard,0
346,Yam Madar,Hapoel Galil Elyon (Israel),47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
347,Nico Mannion,Arizona,48,2020-21,GSW,30,12.1,4.1,1.3,3.8,34.2,0.7,2.0,36.7,0.8,0.9,82.1,0.2,1.3,1.5,2.3,1.0,0.5,0.0,1.0,10.1,0,0,-2.5,1.88,86,Guard,0
348,Isaiah Joe,Arkansas,49,2020-21,PHI,41,9.3,3.7,1.2,3.2,36.1,1.0,2.6,36.8,0.4,0.6,75.0,0.1,0.7,0.9,0.5,0.3,0.3,0.1,0.8,6.4,0,0,0.0,1.93,75,Guard,0
349,Skylar Mays,Louisiana State,50,2020-21,ATL,33,8.2,3.8,1.3,3.0,44.9,0.4,1.2,35.0,0.7,0.8,88.0,0.3,0.8,1.1,0.9,0.3,0.4,0.1,0.5,7.6,0,0,0.4,1.93,93,Guard,0
350,Justinian Jessup,Boise State,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
351,Kenyon Martin Jr.,IMG Academy,52,2020-21,HOU,45,23.7,9.3,3.6,7.1,50.9,0.8,2.1,36.5,1.3,1.9,71.4,1.6,3.8,5.4,1.1,0.8,0.7,0.9,2.0,21.3,4,0,-6.3,1.96,98,Forward,0
352,Cassius Winston,Michigan State,53,2020-21,WAS,22,4.5,1.9,0.6,1.5,42.4,0.4,0.8,47.1,0.2,0.3,83.3,0.0,0.4,0.4,0.5,0.2,0.1,0.0,0.4,3.4,0,0,-2.2,1.85,84,Guard,0
353,Cassius Stanley,Duke,54,2020-21,IND,24,3.9,1.5,0.5,1.8,30.2,0.1,0.5,23.1,0.3,0.4,77.8,0.3,0.5,0.8,0.0,0.0,0.0,0.1,0.6,2.9,0,0,0.8,1.96,86,Guard,0
354,Jay Scrubb,John A. Logan,55,2020-21,LAC,4,21.0,8.8,3.5,9.0,38.9,0.5,2.3,22.2,1.3,1.3,100,0.5,3.0,3.5,0.3,1.8,1.0,0.0,1.3,14.6,0,0,0.5,1.96,100,Guard,0
355,Grant Riller,College of Charleston,56,2020-21,CHA,7,3.9,2.6,1.1,1.7,66.7,0.3,0.6,50.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.1,0.1,0.0,0.0,3.7,0,0,-0.6,1.88,86,Guard,0
356,Reggie Perry,Mississippi State,57,2020-21,BKN,26,8.1,3.0,1.2,3.0,41.0,0.2,0.8,19.0,0.4,0.5,76.9,1.0,1.8,2.8,0.5,0.6,0.2,0.2,1.5,8.0,1,0,-1.4,2.03,113,NaN,0
357,Paul Reed,DePaul,58,2020-21,PHI,26,6.8,3.4,1.6,3.0,53.8,0.0,0.2,0.0,0.2,0.3,50.0,1.2,1.2,2.3,0.5,0.5,0.4,0.5,1.1,9.1,1,0,1.4,2.06,95,Forward,0
358,Jalen Harris,Nevada-Reno,59,2020-21,TOR,13,13.2,7.4,2.8,5.5,50.0,1.3,2.8,47.2,0.5,0.7,77.8,0.2,1.2,1.4,1.3,1.1,0.6,0.0,1.2,11.8,0,0,-0.1,1.96,88,NaN,0
359,Sam Merrill,Utah State,60,2020-21,MIL,30,7.8,3.0,1.1,2.4,44.4,0.7,1.6,44.7,0.1,0.1,100,0.2,0.8,1.0,0.7,0.3,0.3,0.0,0.6,5.8,0,0,-1.3,1.93,93,NaN,0
360,Cade Cunningham,Oklahoma State,1,2021-22,DET,64,32.6,17.4,6.7,16.1,41.6,1.8,5.7,31.4,2.2,2.6,84.5,0.9,4.6,5.5,5.6,3.7,1.2,0.7,3.1,34.4,10,2,-4.3,1.98,100,Guard,0
361,Jalen Green,Ignite (G League),2,2021-22,HOU,67,31.9,17.3,6.1,14.2,42.6,2.3,6.8,34.3,2.8,3.5,79.7,0.5,2.9,3.4,2.6,2.0,0.7,0.3,1.5,26.0,0,0,-7.7,1.93,84,Guard,0
362,Evan Mobley,Southern California,3,2021-22,CLE,69,33.8,15.0,6.1,12.0,50.8,0.3,1.3,25.0,2.4,3.7,66.3,2.1,6.2,8.3,2.5,1.9,0.8,1.7,2.1,34.2,21,0,1.4,2.11,98,Center,0
363,Scottie Barnes,Florida State,4,2021-22,TOR,74,35.4,15.3,6.2,12.6,49.2,0.8,2.6,30.1,2.1,2.9,73.5,2.6,4.9,7.5,3.5,1.8,1.1,0.7,2.6,33.2,13,0,0.9,2.01,102,Forward,1
364,Jalen Suggs,Gonzaga,5,2021-22,ORL,48,27.2,11.8,4.1,11.4,36.1,0.9,4.1,21.4,2.6,3.4,77.3,0.5,3.0,3.6,4.4,3.0,1.2,0.4,3.0,24.5,2,0,-4.3,1.96,93,Guard,0
365,Josh Giddey,NBA Global Academy (Australia),6,2021-22,OKC,54,31.5,12.5,5.2,12.4,41.9,1.0,3.9,26.3,1.0,1.5,70.9,1.8,6.0,7.8,6.4,3.2,0.9,0.4,1.6,32.2,16,4,-5.5,2.03,93,Guard,0
366,Jonathan Kuminga,Ignite (G League),7,2021-22,GSW,70,16.9,9.3,3.4,6.6,51.3,0.7,2.1,33.6,1.9,2.7,68.4,0.8,2.6,3.3,0.9,1.1,0.4,0.3,2.1,15.9,2,0,0.5,2.01,102,Forward,0
367,Franz Wagner,Michigan,8,2021-22,ORL,79,30.7,15.2,5.8,12.3,46.8,1.2,3.4,35.4,2.4,2.8,86.3,1.1,3.4,4.5,2.9,1.5,0.9,0.4,2.1,27.3,2,0,-3.1,2.08,100,Forward,0
368,Davion Mitchell,Baylor,9,2021-22,SAC,75,27.7,11.5,4.7,11.2,41.8,1.3,4.3,31.6,0.7,1.1,65.9,0.4,1.8,2.2,4.2,1.5,0.7,0.3,1.9,22.0,3,0,-3.7,1.83,92,Guard,0
369,Ziaire Williams,Stanford,10,2021-22,MEM,62,21.7,8.1,3.1,6.8,45.0,1.2,3.9,31.4,0.7,0.9,78.2,0.4,1.7,2.1,1.0,0.7,0.6,0.2,1.8,13.8,0,0,2.0,2.06,84,Forward,0
370,James Bouknight,Connecticut,11,2021-22,CHA,31,9.8,4.6,1.6,4.5,34.8,0.5,1.6,34.7,0.9,1.0,87.1,0.7,1.0,1.7,0.8,0.5,0.2,0.0,0.9,8.1,0,0,-1.6,1.93,86,Guard,0
371,Joshua Primo,Alabama,12,2021-22,SAS,50,19.3,5.8,2.0,5.4,37.4,0.8,2.7,30.7,0.9,1.2,74.6,0.6,1.6,2.3,1.6,1.1,0.4,0.5,1.6,12.3,0,0,-1.6,1.93,86,Guard,0
372,Chris Duarte,Oregon,13,2021-22,IND,55,28.0,13.1,4.9,11.3,43.2,1.7,4.6,36.9,1.6,2.0,80.4,0.7,3.4,4.1,2.1,1.6,1.0,0.2,1.7,23.1,0,0,-1.0,1.96,86,Guard,0
373,Moses Moody,Arkansas,14,2021-22,GSW,52,11.7,4.4,1.5,3.5,43.7,0.8,2.1,36.4,0.5,0.7,77.8,0.3,1.2,1.5,0.4,0.3,0.1,0.2,0.8,7.6,0,0,-0.8,1.96,96,Guard,0
374,Corey Kispert,Gonzaga,15,2021-22,WAS,77,23.4,8.2,3.0,6.7,45.5,1.5,4.2,35.0,0.7,0.8,87.1,0.7,2.0,2.7,1.1,0.6,0.5,0.3,1.2,14.7,0,0,0.5,1.98,102,Forward,0
375,Alperen Sengun,Besiktas (Turkey),16,2021-22,HOU,72,20.7,9.6,3.5,7.3,47.4,0.4,1.6,24.8,2.3,3.2,71.1,1.9,3.5,5.5,2.6,2.0,0.8,0.9,3.0,23.3,8,0,-4.3,2.08,110,Center,0
376,Trey Murphy III,Virginia,17,2021-22,NOP,62,13.9,5.4,1.8,4.5,39.4,1.1,3.0,38.2,0.7,0.8,88.2,0.8,1.6,2.4,0.6,0.3,0.4,0.1,1.0,10.3,0,0,0.0,2.03,93,Forward,0
377,Tre Mann,Florida,18,2021-22,OKC,60,22.8,10.4,3.9,9.8,39.3,1.6,4.5,36.0,1.1,1.4,79.3,0.4,2.4,2.9,1.5,1.2,0.8,0.2,1.7,17.9,0,0,-4.6,1.91,81,Guard,0
378,Kai Jones,Texas,19,2021-22,CHA,21,3.0,1.0,0.4,0.7,64.3,0.0,0.1,50.0,0.1,0.4,37.5,0.1,0.4,0.5,0.2,0.3,0.0,0.1,0.4,2.1,0,0,-0.7,2.08,100,Center-Forward,0
379,Jalen Johnson,Duke,20,2021-22,ATL,22,5.5,2.4,1.0,1.9,53.7,0.1,0.6,23.1,0.2,0.3,71.4,0.1,1.1,1.2,0.1,0.4,0.1,0.1,0.4,4.3,0,0,-0.9,2.03,99,Forward,0
380,Keon Johnson,Tennessee,21,2021-22,LAC,15,9.0,3.5,1.1,3.4,33.3,0.2,0.7,27.3,1.1,1.4,76.2,0.4,1.0,1.4,0.9,0.5,0.5,0.1,1.4,7.8,0,0,-0.5,1.93,84,Guard,0
381,Isaiah Jackson,Kentucky,22,2021-22,IND,36,15.0,8.3,3.2,5.7,56.3,0.1,0.4,31.3,1.7,2.4,68.2,1.7,2.5,4.1,0.3,1.1,0.7,1.4,2.6,18.9,3,0,-1.1,2.08,93,Forward,0
382,Usman Garuba,Madrid (ESP),23,2021-22,HOU,24,10.0,2.0,0.8,1.8,43.2,0.2,0.8,25.0,0.2,0.3,71.4,0.9,2.6,3.5,0.7,0.3,0.4,0.5,1.2,9.6,0,0,1.4,2.03,104,Forward,0
383,Josh Christopher,Arizona State,24,2021-22,HOU,74,18.0,7.9,3.0,6.8,44.8,0.8,2.6,29.6,1.1,1.5,73.5,0.7,1.8,2.5,2.0,1.5,0.9,0.2,1.3,15.6,0,0,-3.7,1.91,98,Guard,0
384,Quentin Grimes,Houston,25,2021-22,NYK,46,17.1,6.0,2.1,5.1,40.4,1.6,4.1,38.1,0.3,0.4,68.4,0.5,1.5,2.0,1.0,0.6,0.7,0.2,1.6,12.0,0,0,-1.2,1.93,95,Guard,0
385,Bones Hyland,Virginia Commonwealth,26,2021-22,DEN,69,19.0,10.1,3.3,8.3,40.3,1.9,5.2,36.6,1.6,1.8,85.6,0.2,2.5,2.7,2.8,1.2,0.6,0.3,2.2,18.9,1,0,0.6,1.88,77,Guard,0
386,Cam Thomas,Louisiana State,27,2021-22,BKN,67,17.6,8.5,3.3,7.5,43.3,0.7,2.6,27.0,1.3,1.6,82.9,0.2,2.2,2.4,1.2,0.8,0.5,0.1,1.0,14.2,0,0,-2.1,1.91,95,Guard,0
387,Jaden Springer,Tennessee,28,2021-22,PHI,2,2.8,1.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,1.0,0.0,4.7,0,0,-4.0,1.93,92,Guard,0
388,Day'Ron Sharpe,North Carolina,29,2021-22,BKN,32,12.2,6.2,2.7,4.7,57.7,0.1,0.2,28.6,0.8,1.3,58.5,2.5,2.5,5.0,0.5,0.9,0.3,0.5,1.9,14.4,2,0,1.8,2.06,120,Forward,0
389,Santi Aldama,Loyola-Maryland,30,2021-22,MEM,32,11.2,4.1,1.7,4.1,40.2,0.2,1.5,12.5,0.6,1.0,62.5,1.0,1.7,2.7,0.7,0.5,0.2,0.3,1.1,9.4,2,0,0.5,2.11,98,Forward-Center,0
390,Isaiah Todd,Ignite (G League),31,2021-22,WAS,12,6.2,1.7,0.6,2.2,26.9,0.3,1.3,25.0,0.2,0.5,33.3,0.3,0.8,1.0,0.3,0.3,0.3,0.2,0.3,4.5,0,0,-2.0,2.06,99,Forward,0
391,Jeremiah Robinson-Earl,Villanova,32,2021-22,OKC,49,22.2,7.5,2.7,6.6,41.4,1.2,3.4,35.2,0.8,1.1,74.1,1.5,4.1,5.6,1.0,0.8,0.6,0.3,1.5,17.6,3,0,-4.9,2.03,110,Forward,0
392,Jason Preston,Ohio,33,3.7,1.2,2018-19,Ohio,19,30,22,29.5,6.0,2.4,5.5,43.4,0.3,1.6,20.8,0.9,1.1,76.5,0.7,2.9,3.6,3.4,0.8,0.1,1.2,1.0,1.91,82,Guard,0
393,Rokas Jokubaitis,BC Zalgiris (Lithuania),34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
394,Herbert Jones,Alabama,35,2021-22,NOP,78,29.9,9.5,3.5,7.4,47.6,0.7,2.2,33.7,1.8,2.1,84.0,1.3,2.5,3.8,2.1,1.3,1.7,0.8,3.1,23.3,1,0,0.9,2.01,93,Forward,0
395,Miles McBride,West Virginia,36,2021-22,NYK,40,9.3,2.2,0.8,2.7,29.6,0.4,1.7,25.0,0.2,0.3,66.7,0.1,1.0,1.1,1.0,0.1,0.4,0.0,1.1,6.0,0,0,2.5,1.85,88,Guard,0
396,JT Thor,Auburn,37,2021-22,CHA,33,7.9,2.0,0.7,1.7,43.6,0.2,0.8,25.9,0.4,0.6,60.0,0.3,1.0,1.3,0.6,0.3,0.2,0.3,0.8,5.9,0,0,-0.2,2.06,92,Forward,0
397,Ayo Dosunmu,Illinois,38,2021-22,CHI,77,27.4,8.8,3.6,6.9,52.0,0.9,2.4,37.6,0.7,1.0,67.9,0.4,2.4,2.8,3.3,1.4,0.8,0.4,2.4,19.2,4,0,-2.6,1.93,91,Guard,0
398,Neemias Queta,Utah State,39,2021-22,SAC,15,8.0,3.0,1.1,2.5,44.7,0.0,0.0,0.0,0.7,1.1,64.7,0.9,1.1,2.1,0.4,0.4,0.1,0.5,1.2,7.5,0,0,-0.5,2.13,112,Center,0
399,Jared Butler,Baylor,40,2021-22,UTA,42,8.6,3.8,1.5,3.6,40.4,0.7,2.1,31.8,0.3,0.4,68.8,0.1,1.0,1.1,1.5,0.8,0.4,0.2,1.1,8.4,0,0,-0.3,1.91,88,Guard,0
400,Joe Wieskamp,Iowa,41,2021-22,SAS,29,7.1,2.1,0.7,1.9,35.7,0.5,1.5,32.6,0.2,0.4,53.8,0.1,0.3,0.5,0.3,0.1,0.1,0.1,0.5,3.8,0,0,0.0,1.98,93,Guard-Forward,0
401,Isaiah Livers,Michigan,42,2021-22,DET,19,20.2,6.4,2.2,4.7,45.6,1.4,3.4,42.2,0.6,0.7,85.7,0.8,2.2,3.0,1.1,0.8,0.7,0.4,1.9,14.0,1,0,-0.5,1.98,105,Forward,0
402,Greg Brown III,Texas,43,2021-22,POR,48,13.3,4.7,1.7,4.0,42.6,0.4,1.3,31.1,0.9,1.4,67.7,0.8,2.0,2.8,0.7,0.8,0.5,0.5,1.9,11.5,0,0,-5.0,2.01,93,Forward,0
403,Kessler Edwards,Pepperdine,44,2021-22,BKN,48,20.6,5.9,2.3,5.6,41.2,1.0,2.8,35.3,0.3,0.4,84.2,0.9,2.7,3.6,0.6,0.9,0.6,0.5,1.8,13.6,1,0,-1.3,2.01,92,Forward,0
404,Juhann Begarin,Paris (France),45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
405,Dalano Banton,Nebraska,46,2021-22,TOR,64,10.9,3.2,1.3,3.2,41.1,0.2,0.8,25.5,0.4,0.7,59.1,0.6,1.3,1.9,1.5,0.8,0.4,0.2,1.1,8.8,0,0,0.5,2.01,93,Forward,0
406,David Johnson,Louisville,47,2021-22,TOR,2,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,1.93,92,Guard,0
407,Sharife Cooper,Auburn,48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
408,Marcus Zegarowski,Creighton,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
409,Filip Petrusev,KK Mega Leks (Serbia),50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
410,Brandon Boston,Kentucky,51,2021-22,LAC,51,14.9,6.7,2.5,6.4,38.5,0.7,2.2,30.6,1.2,1.4,81.9,0.3,1.8,2.2,1.0,0.6,0.5,0.3,0.8,12.5,0,0,-0.7,1.98,85,Guard,0
411,Luka Garza,Iowa,52,2021-22,DET,32,12.2,5.8,2.1,4.6,44.9,0.5,1.5,32.7,1.2,1.9,62.3,1.8,1.3,3.1,0.6,0.6,0.3,0.2,1.7,11.3,2,0,-2.0,2.08,110,Center,0
412,Charles Bassey,Western Kentucky,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
413,Sandro Mamukelashvili,Seton Hall,54,2021-22,MIL,41,9.9,3.8,1.4,2.8,49.6,0.5,1.3,42.3,0.4,0.5,81.8,0.9,1.1,2.0,0.5,0.4,0.2,0.2,0.7,7.9,1,0,-3.5,2.06,109,Forward-Center,0
414,Aaron Wiggins,Maryland,55,2021-22,OKC,50,24.2,8.3,3.1,6.7,46.3,0.8,2.8,30.4,1.2,1.7,72.9,1.0,2.5,3.6,1.4,1.1,0.6,0.2,1.9,16.0,0,0,-4.7,1.93,86,Guard,0
415,Scottie Lewis,Florida,56,2021-22,CHA,2,3.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.8,0,0,-2.0,1.96,84,Guard,0
416,Balsa Koprivica,Florida State,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
417,Jericho Sims,Texas,58,2021-22,NYK,41,13.5,2.2,1.0,1.3,72.2,0.0,0.0,0.0,0.3,0.7,41.4,1.5,2.6,4.1,0.5,0.5,0.3,0.5,1.6,9.8,1,0,1.9,2.06,113,Center,0
418,RaiQuan Gray,Florida State,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
419,Georgios Kalaitzakis,BC Nevezis (Greece),60,2021-22,MIL,9,5.3,1.8,0.6,1.2,45.5,0.2,0.4,50.0,0.4,1.0,44.4,0.4,0.4,0.9,0.0,0.4,0.1,0.1,0.9,3.1,0,0,-5.4,2.01,87,NaN,0
